property_id,name,district,price,beds,baths,area,build_time,location,time_to_school,distance_to_mrt,latitude,longitude,public_facilities,facility_type,costScore,commuteScore,neighborhoodScore,device_id,dwell_time,favorite,update_time
154,Paya Lebar Residences,Geylang,1300,1,0,100,2003,27 Paya Lebar Road,44,280,1.31752143815241,103.891475654733,"[{'Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre)': '529'}, {'Geylang East Public Library': '627'}, {'GUILLEMARD RD OS': '344'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '174'}]",Apartment,0.92,0.75,0.77,device_2,70.54,True,2025-10-28 03:26:56.347074+00:00
64,"Yishun Sapphire, 40 Canberra Drive",Sembawang,1300,1,0,150,2002, 40 Canberra Drive,69,390,1.44076527720917,103.830495461097,"[{'Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre)': '1053'}, {'Yishun Public Library': '1357'}, {'NW502D': '280'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '676'}]",Condo,0.92,0.35,0.97,device_2,15.47,True,2025-10-28 03:27:51.173768+00:00
54,"Parc Haven, 12 Lorong Limau",Toa Payoh,1380,1,0,1474,2005,12 Lorong Limau,49,1390,1.32436836124439,103.854219451062,"[{'Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market)': '105'}, {'Toa Payoh Public Library': '1085'}, {'MAR THOMA ROAD PARK': '929'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '173'}]",Condo,0.85,0.67,0.9,device_2,80.52,False,2025-10-28 03:29:39.486416+00:00
49,"Moonstone Residences, 25 Moonstone Lane",Woodleigh,1580,1,0,150,2004,25 Moonstone Lane,40,670,1.32709863575898,103.86606572723,"[{'Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre)': '761'}, {'Toa Payoh Public Library': '1828'}, {""ST MICHAEL'S FC"": '125'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '610'}]",Apartment,0.68,0.81,1.0,device_2,62.35,False,2025-10-28 03:30:57.660664+00:00
61,"Eng Apartments, 25 Lorong 25A Geylang",Geylang,1200,1,0,150,1995,25 Lorong 25A Geylang,56,280,1.31418513616608,103.882905262718,"[{'Sims Place Blk 49 (Sims Vista Market and Food Centre)': '509'}, {'Geylang East Public Library': '486'}, {'LORONG 40 GEYLANG PG': '721'}, {'YEO HOCK HENG': '132'}]",Apartment,1.0,0.56,0.77,device_2,41.95,False,2025-10-28 03:32:04.921869+00:00
63,"Dover Parkview, 34 Dover Rise",Queenstown,2400,1,0,60,1997,34 Dover Rise,66,880,1.30562191514323,103.783821726393,"[{'Ghim Moh Road Blk 20': '770'}, {'ONE-NORTH PARK': '743'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '254'}]",Condo,0.0,0.4,0.0,device_2,15.82,False,2025-10-28 03:32:43.383299+00:00
45,"The Blossomvale, 900 Dunearn Road",Bukit Merah West,1200,1,0,100,1999,900 Dunearn Road,59,190,1.33673935083253,103.782820735846,"[{'Bukit Timah Market': '773'}, {'HUA GUAN CRESCENT PG': '250'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '99'}]",Condo,1.0,0.51,0.05,device_2,78.51,False,2025-10-28 03:34:26.747689+00:00
287,Common Room (HDB) in 713 Jurong West Street 71,Nanyang,1000,1,0,110,,713 Jurong West Street 71,45,553,1.34365711251197,103.696064237883,"[{'Jurong West Hawker Centre': '295'}, {'Jurong West Public Library': '997'}, {'YUNNAN PARK': '767'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '252'}]",HDB,0.95,0.25,0.64,device_3,51.03,False,2025-10-28 03:23:30.497918+00:00
651,103 Jurong East Street 13 (A),Jurong East,1100,1,0,150,1982,103 Jurong East Street 13,34,750,1.33668715015786,103.738059200285,"[{'Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre)': '752'}, {'Jurong Regional Library': '439'}, {'JLG: CG MRT TOL LINKWAY': '832'}, {'ONE EIGHT SHOP PTE. LTD.': '49'}]",HDB,0.93,0.8,1.0,device_3,87.77,False,2025-10-28 03:25:35.716800+00:00
626,5 Room (S) HDB for Rent in 738 Jaroog West Street 75,Nanyang,4400,4,2,1334,,738 Jurong West Street 75 640738,40,293,1.3461618661461,103.700555451498,"[{'Jurong West Hawker Centre': '655'}, {'Jurong West Public Library': '753'}, {'WESTWOOD PARK PLAYGROUND': '626'}, {'PRIME SUPERMARKET LIMITED': '379'}]",HDB,0.54,0.5,0.64,device_3,57.75,False,2025-10-28 03:27:08.838555+00:00
234,Master Room (HDB) for Rent in 852 Jurong West Street 81,Nanyang,1200,1,1,200,,852 Jurong West Street 81,45,382,1.34744620469093,103.692827944039,"[{'Jurong West Hawker Centre': '841'}, {'Jurong West Public Library': '1502'}, {'WESTVILLE PLAYGROUND': '1010'}, {'PRIME SUPERMARKET LIMITED': '618'}]",HDB,0.92,0.25,0.64,device_3,58.1,False,2025-10-28 03:28:25.176177+00:00
194,The Centris,Nanyang,1450,1,0,140,2009,69 Jurong West Central 3,30,110,1.33914978847494,103.705497359693,"[{'Jurong West Hawker Centre': '948'}, {'Jurong West Public Library': '197'}, {'JURONG CENTRAL PARK': '294'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '24'}]",Apartment,0.89,1.0,0.64,device_3,48.18,False,2025-10-28 03:29:42.826933+00:00
429,Common Room (HDB) for Rent in 713 Jurong West Street 71 (B),Nanyang,1000,1,0,110,,713 Jurong West Street 71 640713,45,553,1.34365711251197,103.696064237883,"[{'Jurong West Hawker Centre': '295'}, {'Jurong West Public Library': '997'}, {'YUNNAN PARK': '767'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '252'}]",HDB,0.95,0.25,0.64,device_3,88.61,False,2025-10-28 03:31:28.044940+00:00
201,Common Room (HDB) for Rent in 101 Jurong East Street 13,Jurong East,1080,1,0,120,1982,Jurong East Street 13,35,463,1.33692415899343,103.737283686826,"[{'Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre)': '727'}, {'Jurong Regional Library': '496'}, {'JLG: CG MRT TOL LINKWAY': '747'}, {'ONE EIGHT SHOP PTE. LTD.': '53'}]",HDB,0.94,0.75,1.0,device_3,92.63,False,2025-10-28 03:33:22.735807+00:00
301,2 Room HDB for Rent in 450D Bukit Batok West Avenue 6,Jurong East,2900,1,1,505,2019,450D Bukit Batok West Avenue 6,45,744,1.35266810573153,103.74396208468,"[{'Bukit Batok West Hawker Centre': '371'}, {'Bukit Batok Public Library': '675'}, {'BUKIT BATOK TOWN PARK': '1443'}, {'SHENG SIONG SUPERMARKET PTE LTD': '40'}]",HDB,0.72,0.25,1.0,device_3,63.72,False,2025-10-28 03:35:02.064786+00:00
571,Common Room (HDB) for Rent in 713 Jurong West Street 71 (D),Nanyang,940,1,0,160,,713 Jurong West Street 71 640713,45,553,1.34365711251197,103.696064237883,"[{'Jurong West Hawker Centre': '295'}, {'Jurong West Public Library': '997'}, {'YUNNAN PARK': '767'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '252'}]",HDB,0.95,0.25,0.64,device_3,53.07,True,2025-10-28 03:36:23.626470+00:00
108,Caspian,Jurong West,1150,1,0,1400,2013,"62 Lakeside Dr, Singapore 648321",31,270,1.34280248707589,103.718601989018,"[{'Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village)': '698'}, {'Jurong West Public Library': '1586'}, {'LAKESIDE GROVE PLAYGROUND': '301'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '790'}]",Condo,0.93,0.95,0.73,device_3,52.56,False,2025-10-28 03:37:32.643473+00:00
100,Cavendish Park,Bukit Merah West,1450,1,0,140,1996,Cavendish Park,16,1020,1.3165509201045,103.775401158619,"[{'Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre)': '565'}, {'Clementi Public Library': '1245'}, {'JLN KEBAYA PG': '602'}, {'YEO KENG GUAN': '394'}]",Condo,0.95,1.0,0.92,device_4,13.54,False,2025-10-28 03:22:48.582117+00:00
28,517 Woodlands Drive 14 (B),Woodlands East,1500,1,1,200,1999,517 Woodlands Drive 14,62,1040,1.43382994903659,103.791679802234,"[{'Kampung Admiralty Hawker Centre': '1200'}, {'Woodlands Regional Library': '545'}, {'WOODLANDS HEALING GARDEN': '975'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '334'}]",HDB,0.9,0.27,0.94,device_4,13.67,False,2025-10-28 03:23:19.450746+00:00
171,Lian Beng Building ,Hougang,1800,1,1,250,,985 Upper Serangoon Road,55,350,1.36220947602718,103.886929234288,"[{'Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre)': '359'}, {'Cheng San Public Library': '1376'}, {'RICHARDS AVE PK': '552'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '363'}]",Apartment,0.6,0.38,0.9,device_4,30.47,False,2025-10-28 03:24:12.207489+00:00
55,"Seletar Springs Condominium, 110 Gerald Drive",Hougang,1800,1,0,1356,2001,110 Gerald Drive,79,860,1.38758122074419,103.878483455176,"[{'Fernvale Hawker Centre & Market': '485'}, {'Sengkang Public Library': '1867'}, {'MUGLISTON PK PG': '244'}, {'SHENG SIONG SUPERMARKET PTE LTD': '469'}]",Condo,0.6,0.0,0.9,device_4,32.83,False,2025-10-28 03:25:10.914383+00:00
123,Robertson Edge,Orchard,2000,1,1,195,2008,"18 Tong Watt Rd, Singapore 238010",53,620,1.29309229152325,103.840538564538,"[{'Jalan Kukoh Blk 1 (Kukoh 21 Food Centre)': '541'}, {'library@orchard': '814'}, {'JUBILEE PARK (FCP)': '480'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '243'}]",Apartment,0.4,0.41,0.65,device_4,21.31,False,2025-10-28 03:25:55.794771+00:00
139,Huge Master and Common Room,Bukit Merah West,2200,1,1,300,2005,West Coast,22,850,1.30812643020778,103.761111327647,"[{'West Coast Drive Blk 503 (Ayer Rajah Food Centre)': '433'}, {'Clementi Public Library': '845'}, {'JALAN MAS PUTEH PLAYGROUND': '137'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '473'}]",Landed,0.2,0.9,0.92,device_4,38.32,True,2025-10-28 03:27:13.984990+00:00
63,"Dover Parkview, 34 Dover Rise",Queenstown,2400,1,0,60,1997,34 Dover Rise,22,880,1.30562191514323,103.783821726393,"[{'Ghim Moh Road Blk 20': '770'}, {'ONE-NORTH PARK': '743'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '254'}]",Condo,0.0,0.9,0.0,device_4,19.68,False,2025-10-28 03:27:53.053999+00:00
183,La Brisa (B),Geylang,1900,1,0,180,2014,"50 Lor 28 Geylang, Singapore 398453",55,670,1.31190419143627,103.885369365155,"[{'Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall)': '406'}, {'Geylang East Public Library': '614'}, {'LORONG 40 GEYLANG PG': '484'}, {'I-TEC SUPERMART PTE LTD': '154'}]",Apartment,0.5,0.38,0.77,device_4,14.56,False,2025-10-28 03:28:27.998312+00:00
176,Jalan Besar Plaza,Rochor,1400,1,0,200,1980,101 Kitchener Rd,52,460,1.30865766748104,103.858066663176,"[{'Berseh Food Centre': '195'}, {'Central Arts Library': '1286'}, {'SOMME RD PG': '312'}, {'SHENG SIONG SUPERMARKET PTE LTD': '152'}]",Apartment,1.0,0.43,0.77,device_4,53.69,False,2025-10-28 03:29:40.051352+00:00
184,30A Norris Road,Rochor,1800,1,1,180,,30A Norris Road,45,420,1.30785258231089,103.853894488468,"[{'Berseh Food Centre': '337'}, {'Central Arts Library': '1132'}, {'ROWELL RD OS': '123'}, {'MUSTAFA HOLDINGS PTE LTD': '290'}]",Apartment,0.6,0.54,0.77,device_4,60.3,True,2025-10-28 03:31:14.734286+00:00
48,"Boonview, 1 Marymount Terrace",Bishan,1500,1,0,80,2003,1 Marymount Terrace,51,940,1.35166519162343,103.84155399401,"[{'Shunfu Road Blk 320 (Shunfu Mart)': '512'}, {'Bishan Public Library': '835'}, {'PEMIMPIN PLACE PG': '228'}, {'SHENG SIONG SUPERMARKET PTE LTD': '612'}]",Condo,0.6,0.48,0.98,device_5,17.46,False,2025-10-28 03:22:59.083461+00:00
22,167 Bedok South Avenue 3,Bedok,1380,1,0,120,1985,167 Bedok South Avenue 3,68,760,1.31963968622666,103.944965230243,"[{'New Upper Changi Road Blk 58': '661'}, {'Bedok Public Library': '1686'}, {'LUCKY GARDENS PG': '401'}, {'HAO MART PTE. LTD.': '151'}]",HDB,0.68,0.25,0.67,device_5,63.08,False,2025-10-28 03:24:41.730531+00:00
77,406B Northshore Drive,Punggol,900,1,0,120,,406B Northshore Drive,86,280,1.41641214258513,103.901126898923,"[{'Punggol Coast Hawker Centre': '851'}, {'Punggol Regional Library': '913'}, {'PUNGGOL WATERWAY PK': '725'}, {'GW TRADER PTE. LTD.': '562'}]",HDB,1.0,0.0,0.85,device_5,52.36,False,2025-10-28 03:26:02.331454+00:00
38,318 Bukit Batok Street 32,Bukit Batok,1000,1,0,50,1984,318 Bukit Batok Street 32,38,830,1.36094593781145,103.747282390377,"[{'Bukit Batok West Hawker Centre': '839'}, {'Bukit Batok Public Library': '1262'}, {'BUKIT GOMBAK PARK': '899'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '387'}]",HDB,0.93,0.66,0.81,device_5,21.8,False,2025-10-28 03:26:48.762071+00:00
60,"Tre Residences, 9 Geylang East Avenue 1",Geylang,2150,1,1,200,2018,9 Geylang East Avenue 1,50,300,1.3172278261209,103.885015905304,"[{'Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre)': '439'}, {'Geylang East Public Library': '94'}, {'GEYLANG EAST PK': '582'}, {'ABEDIN TRADING PTE. LTD.': '383'}]",Condo,0.17,0.49,0.64,device_5,9.61,False,2025-10-28 03:27:31.781967+00:00
41,210A Clementi Avenue 6,Bukit Merah West,1300,1,0,150,,210A Clementi Avenue 6,19,820,1.32175018587424,103.762988191669,"[{'Clementi Ave 3 Blk 448': '947'}, {'Clementi Public Library': '753'}, {'FABER HILLS PLAYGROUND': '599'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '503'}]",HDB,0.73,0.92,0.86,device_5,37.66,False,2025-10-28 03:28:27.362108+00:00
46,"Parkshore, 201 Tanjong Rhu Road",Rochor,2100,1,1,200,1995,201 Tanjong Rhu Road,53,350,1.29673208730621,103.87063419752,"[{'Golden Mile Food Centre': '1033'}, {'Central Arts Library': '1808'}, {'EAST COAST PARK AREA A': '318'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '820'}]",Condo,0.2,0.45,0.65,device_5,44.22,False,2025-10-28 03:29:33.456931+00:00
27,517 Woodlands Drive 14 (A),Woodlands East,1000,1,0,150,1999,517 Woodlands Drive 14,62,1040,1.43382994903659,103.791679802234,"[{'Kampung Admiralty Hawker Centre': '1200'}, {'Woodlands Regional Library': '545'}, {'WOODLANDS HEALING GARDEN': '975'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '334'}]",HDB,0.93,0.33,0.89,device_5,17.12,True,2025-10-28 03:30:25.040632+00:00
154,Paya Lebar Residences,Geylang,1300,1,0,100,2003,27 Paya Lebar Road,28,280,1.31752143815241,103.891475654733,"[{'Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre)': '529'}, {'Geylang East Public Library': '627'}, {'GUILLEMARD RD OS': '344'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '174'}]",Apartment,0.77,0.34,0.52,device_6,68.77,False,2025-10-28 03:23:56.284821+00:00
86,275 Tampines Street 22,Changi,1000,1,0,250,,275 Tampines Street 22,21,920,1.34781303677538,103.950409276356,"[{'Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre)': '697'}, {'Tampines Regional Library': '1282'}, {'HARVEY CRESCENT PG': '953'}, {'SHAHUL HAMEED S/O ABDUSALAM': '147'}]",HDB,1.0,0.54,0.95,device_6,59.9,False,2025-10-28 03:25:30.421479+00:00
363,Master Room (HDB) for Rent in 467 Tampines Street 44 (A),Pasir Ris,1100,1,1,224,,467 Tampines Street 44 520467,18,381,1.35996852651128,103.954665911889,"[{'Pasir Ris Central Hawker Centre': '1532'}, {'Pasir Ris Public Library': '1488'}, {'TAMPINES ECO GREEN PK': '813'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '175'}]",HDB,0.92,0.63,0.95,device_6,37.04,False,2025-10-28 03:26:24.751976+00:00
382,Master Room (Condo) for Rent in Sunhaven,Changi,1880,1,1,200,2003,781 Upper Changi Road East 486069,13,715,1.34813938708512,103.962084910434,"[{'Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre)': '1966'}, {'MERA TERRACE PG': '177'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '724'}]",Condo,0.32,0.77,0.47,device_6,35.23,False,2025-10-28 03:27:19.580763+00:00
262,Common Room (Condo) for Rent in Simei Green Condominium,Changi,1200,1,0,80,1999,"Simei Green, 1 Simei Street 4",6,376,1.34111322619373,103.957795806877,"[{'Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre)': '1539'}, {'SUNBIRD CIRCLE PG': '229'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '559'}]",Condo,0.85,0.97,0.47,device_6,7.87,True,2025-10-28 03:27:48.070046+00:00
51,"Simei Green Condominium, 1 Simei Street 4",Changi,1300,1,0,120,1999,1 Simei Street 4,5,580,1.34169538178112,103.958080755214,"[{'Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre)': '1551'}, {'SUNBIRD CIRCLE PG': '288'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '573'}]",Condo,0.77,1.0,0.47,device_6,31.4,True,2025-10-28 03:28:44.590189+00:00
19,414 Tampines Street 41 (A),Pasir Ris,1100,1,0,150,1985,414 Tampines Street 41,25,840,1.35981195619451,103.946549508112,"[{'Hawker Centre @ Our Tampines Hub': '1006'}, {'Tampines Regional Library': '1000'}, {'SUN PLAZA PK': '372'}, {'SHENG SIONG SUPERMARKET PTE LTD': '438'}]",HDB,0.92,0.43,0.95,device_6,64.52,False,2025-10-28 03:30:06.769111+00:00
676,One Pearl Bank (A),Bukit Merah East,4680,1,1,560,2024,1 Pearl Bank 169016,34,185,1.28296148659589,103.839814598308,"[{""New Market Road Blk 32 (People's Park Food Centre)"": '372'}, {'library@chinatown': '624'}, {""PEARL'S HILL CITY PK"": '209'}, {'WAN SIEW YOONG': '367'}]",Condo,0.93,0.36,0.84,device_7,16.43,False,2025-10-28 03:22:46.816742+00:00
697,Highline Residences,Clementi,8300,3,2,1130,2018,"3 Kim Tian Road, 169279",34,210,1.28401388688187,103.829756642565,"[{'Tiong Bahru Market': '283'}, {'library@chinatown': '1695'}, {'KIM PONG PARK': '46'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '101'}]",Condo,0.86,0.36,1.0,device_7,47.32,True,2025-10-28 03:24:11.377995+00:00
577,1 Bed Apartment (Condo) for Rent in 76 Shenton (B),Marina Bay,4440,1,1,684,2014,76 Shenton Way 079119,38,118,1.2734661134853,103.845580792511,"[{'Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre)': '440'}, {'library@chinatown': '1306'}, {'TANJONG PAGAR PK': '344'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '189'}]",Condo,0.94,0.24,0.53,device_7,31.44,True,2025-10-28 03:25:11.950629+00:00
537,3 Bed Apartment (Condo) for Rent in Alkaz,Marina Bay,10400,3,4,1507,2014,16 Enggor Street 079717,37,255,1.27461794103822,103.844319553688,"[{'Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre)': '255'}, {'library@chinatown': '1178'}, {'TRAS LINK PK': '211'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '0'}]",Condo,0.83,0.27,0.53,device_7,77.18,False,2025-10-28 03:27:00.132302+00:00
128,122 Kim Tian Road (B),Clementi,1138,1,1,160,1994,122 Kim Tian Road,35,650,1.28339187402842,103.82889400724,"[{'Tiong Bahru Market': '397'}, {'library@chinatown': '1798'}, {'KIM PONG PARK': '96'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '162'}]",HDB,1.0,0.33,1.0,device_7,11.8,True,2025-10-28 03:27:39.909816+00:00
503,1+1 Bed Condo for Rent in V On Shenton,Marina Bay,4850,1,1,720,2017,5A Shenton Way 068814,38,175,1.27708340707631,103.849181343548,"[{'Amoy Street Food Centre (Telok Ayer Food Centre)': '371'}, {'library@chinatown': '1019'}, {'TELOK AYER PK': '302'}, {'AP HOUSE PTE. LTD.': '224'}]",Condo,0.93,0.24,0.53,device_7,6.93,False,2025-10-28 03:28:19.603844+00:00
168,The Sail @ Marina Bay,Marina Bay,2000,1,0,66,2008,"4 Marina Blvd, Singapore 018987",40,250,1.28076943504219,103.852658562152,"[{'Market Street Hawker Centre': '454'}, {'library@chinatown': '991'}, {'RAFFLES PLACE PK': '337'}, {'AL MARCHE PTE LTD': '0'}]",Apartment,0.98,0.18,0.53,device_7,63.09,False,2025-10-28 03:29:44.808269+00:00
495,3 Room (3STD) HDB for Rent in 6 Telok Blangah Crescent,Clementi,3000,2,1,643,1975,6 Telok Blangah Crescent 090006,44,1800,1.27814081311562,103.818484019328,"[{'Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre)': '87'}, {'library@harbourfront': '1610'}, {'MOUNT FABER PARK': '844'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '102'}]",HDB,0.96,0.06,1.0,device_7,52.93,True,2025-10-28 03:30:57.122166+00:00
47,"Coastarina, 510 East Coast Road",Marine Parade,1400,1,0,110,2006,510 East Coast Road,32,870,1.30955905953909,103.918348621431,"[{'Marine Terrace Blk 50A (50A Marine Terrace)': '513'}, {'Marine Parade Public Library': '1121'}, {'JLN BULOH PERINDU PG': '165'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '548'}]",Condo,0.56,0.6,0.92,device_8,69.88,False,2025-10-28 03:23:45.688773+00:00
49,"Moonstone Residences, 25 Moonstone Lane",Woodleigh,1580,1,0,150,2004,25 Moonstone Lane,25,670,1.32709863575898,103.86606572723,"[{'Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre)': '761'}, {'Toa Payoh Public Library': '1828'}, {""ST MICHAEL'S FC"": '125'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '610'}]",Apartment,0.36,0.74,0.98,device_8,35.18,False,2025-10-28 03:24:57.066015+00:00
50,"Kensington Square, 2 Jalan Lokam",Woodleigh,1650,1,1,200,2017,2 Jalan Lokam,35,760,1.34560719747232,103.882695128109,"[{'Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre)': '1250'}, {'Serangoon Public Library': '1292'}, {'JLN KELICHAP PG': '162'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '0'}]",Apartment,0.28,0.54,0.98,device_8,21.64,False,2025-10-28 03:25:46.593045+00:00
